,0
0,tt0302107
1,tt0370335
2,tt0534002
3,tt0210879
4,tt0289775
5,tt0285118
6,tt0338276
7,tt0259087
8,tt0240630
9,tt0153821
10,tt0245339
11,tt0326587
12,tt0307617
13,tt0310400
14,tt0323144
15,tt0331318
16,tt0236259
17,tt0234775
18,tt0218902
19,tt0315606
20,tt5231778
21,tt0380055
22,tt0226981
23,tt0291358
24,tt0181284
25,tt0423240
26,tt0310572
27,tt0298318
28,tt0320520
29,tt0285957
30,tt3006138
31,tt0387839
32,tt0381968
33,tt0330932
34,tt0298548
35,tt0312337
36,tt0324034
37,tt0304807
38,tt0319873
39,tt0304003
40,tt0244469
41,tt0327947
42,tt0369996
43,tt0388664
44,tt3006148
45,tt0839610
46,tt0417956
47,tt0389055
48,tt0373216
49,tt0369001
50,tt0396961
51,tt6401938
52,tt0378943
53,tt0345950
54,tt0226057
55,tt0295438
56,tt0405276
57,tt1058099
58,tt0463728
59,tt0436863
60,tt0471249
61,tt0593207
62,tt0783692
63,tt0322092
64,tt0485743
65,tt0439453
66,tt0784160
67,tt3589624
68,tt1151884
69,tt1248236
70,tt1102297
71,tt1525839
72,tt0368414
73,tt0278799
74,tt0872293
75,tt21261968
76,tt1135927
77,tt1606261
78,tt7132902
79,tt1278159
80,tt1601813
81,tt1566388
82,tt1658798
83,tt1361564
84,tt1396930
85,tt1562288
86,tt2155409
87,tt1601788
88,tt1410270
89,tt1583364
90,tt4318088
91,tt1728197
92,tt4321312
93,tt1852018
94,tt3321672
95,tt0402214
96,tt2250956
97,tt4374638
98,tt1996445
99,tt1819455
100,tt0187902
101,tt3305350
102,tt1764570
103,tt2110448
104,tt10876060
105,tt3432860
106,tt1642274
107,tt4719794
108,tt0479462
109,tt2660424
110,tt7352902
111,tt2919014
112,tt3637124
113,tt5377074
114,tt3484862
115,tt4112302
116,tt4242328
117,tt4307540
118,tt11443354
119,tt14196326
120,tt5161502
121,tt9104218
122,tt10929784
123,tt10926626
124,tt4043366
125,tt3686180
126,tt6448226
127,tt10929710
128,tt6095398
129,tt6044118
130,tt6296802
131,tt6684312
132,tt9352248
133,tt14268566
134,tt9846462
135,tt10163140
136,tt13260472
137,tt10433366
138,tt9832060
139,tt6290734
140,tt11127370
141,tt17498620
142,tt13714414
143,tt11322452
144,tt9821006
145,tt13370442
146,tt13370432
147,tt10776034
148,tt13260170
149,tt12217088
150,tt4025952
151,tt7468642
152,tt3275244
153,tt5695388
154,tt8855616
155,tt8129436
156,tt8129438
157,tt6636742
158,tt14117316
159,tt11870690
160,tt15073452
161,tt27590163
162,tt12669854
163,tt21810698
164,tt18814290
165,tt13279788
166,tt12662928
167,tt19849176
168,tt25384820
169,tt10406410
170,tt27191672
171,tt16756030
172,tt12226632
173,tt12338584
174,tt5328336
175,tt27813252
176,tt4225012
177,tt3234122
178,tt17009348
179,tt15829724
180,tt15340206
181,tt18257464
182,tt20315818
183,tt26458443
184,tt11358390
185,tt27420880
186,tt28787736
187,tt13911838
188,tt27369358
189,tt26594061
190,tt15225664
191,tt19856988
192,tt19406606
193,tt16274700
194,tt2488666
195,tt18330030
196,tt18363072
197,tt20358284
198,tt15469092
199,tt23850840
200,tt28095767
201,tt27142792
202,tt27816013
203,tt27761433
204,tt22398528
205,tt14770620
206,tt26736061
207,tt15845360
208,tt18297148
209,tt11480250
210,tt23392328
211,tt28807499
212,tt27847662
213,tt8027508
214,tt28100253
215,tt15332976
216,tt22802132
217,tt26492490
218,tt28943289
219,tt28093168
220,tt26341928
221,tt27329410
222,tt26275673
223,tt14783444
224,tt12830948
225,tt19356540
226,tt15153532
227,tt28104587
228,tt10155748
229,tt27684092
230,tt6349210
231,tt13566172
232,tt27429865
233,tt22687790
234,tt23870832
235,tt13200006
236,tt17527468
237,tt13588156
238,tt27524109
239,tt8878916
240,tt24855120
241,tt10681070
242,tt28664108
243,tt13848506
244,tt16402818
245,tt28104003
246,tt17595094
247,tt13344406
248,tt9013340
249,tt13517306
250,tt27810925
251,tt14537248
252,tt25363184
253,tt27916210
254,tt27575985
255,tt26220242
256,tt10580188
257,tt16377920
258,tt21833834
259,tt26448952
260,tt27906007
261,tt28182736
262,tt28002892
263,tt15000156
264,tt27403906
265,tt7106686
266,tt28634455
267,tt14545698
268,tt13080474
269,tt6528290
270,tt28554864
271,tt10356564
272,tt28171993
273,tt29174262
274,tt23396122
275,tt18412266
276,tt5761544
277,tt19623240
278,tt27481373
279,tt22743950
280,tt28290034
281,tt23060608
282,tt21572042
283,tt26172490
284,tt15207976
285,tt15167316
286,tt15437330
287,tt22307442
288,tt27853776
289,tt4495098
290,tt26454980
291,tt28687429
292,tt12606526
293,tt19556180
294,tt28757454
295,tt20248346
296,tt26687370
297,tt27048268
298,tt5674658
299,tt15772078
300,tt14866108
301,tt4873118
302,tt13157456
303,tt15403372
304,tt27051018
305,tt26447156
306,tt27036277
307,tt12024308
308,tt20783336
309,tt13652142
310,tt21064584
311,tt6615224
312,tt9185206
313,tt20601506
314,tt16158790
315,tt16475076
316,tt23062300
317,tt27329189
318,tt10098448
319,tt27435647
320,tt26458002
321,tt20495070
322,tt16977014
323,tt14129132
324,tt6879446
325,tt25688460
326,tt25954422
327,tt23952252
328,tt7347248
329,tt2071590
330,tt26657630
331,tt20863072
332,tt17526454
333,tt13302660
334,tt7093904
335,tt28769082
336,tt29142552
337,tt21273208
338,tt26902853
339,tt15078770
340,tt10767052
341,tt15559582
342,tt16304140
343,tt23055444
344,tt15379542
345,tt13224758
346,tt27619382
347,tt21836268
348,tt13259610
349,tt20768712
350,tt22802480
351,tt16987390
