Movie1,Movie2,Jaccard_Similarity
tt2222266,tt1801085,0.0
tt2222266,tt3425332,0.0
tt2222266,tt3454066,0.0
tt2222266,tt3405276,0.0
tt2222266,tt2673812,0.0
tt2222266,tt1235522,0.0
tt1801085,tt3425332,0.0
tt1801085,tt3454066,0.0
tt1801085,tt3405276,0.0
tt1801085,tt2673812,0.0
tt1801085,tt1235522,0.0
tt3425332,tt3454066,0.2857142857142857
tt3425332,tt3405276,0.5
tt3425332,tt2673812,0.0
tt3425332,tt1235522,0.0
tt3454066,tt3405276,0.14285714285714285
tt3454066,tt2673812,0.0
tt3454066,tt1235522,0.0
tt3405276,tt2673812,0.0
tt3405276,tt1235522,0.0
tt2673812,tt1235522,0.0
