IMDB ID,Revenue_y,Running Time,Title_x
tt2953170,365.0,1 hr 25 min,Pussy Riot: The Movement (2013)
tt2230358,3800000.0,1 hr 37 min,Curse of Chucky (2013)
tt2606292,7000.0,1 hr 30 min,Chosen (2014)
tt2211240,201103001.0,1 hr 44 min,Dead (2013)
tt2298224,120000.0,1 hr 28 min,Holy Ghost People (2013)
tt1068953,560000.0,1 hr 48 min,House of Good and Evil (2013)
tt1986850,5000.0,1 hr 54 min,Green Eyes (2013)
tt2312390,405916.0,2 hr 5 min,The Gamers: Hands of Fate (2013)
tt3005092,8000.0,20 min,Betty (2013)
tt2857196,46.0,1 hr 34 min,Tell 'Em Steve-Dave Puppet Theatre (2013)
tt2133234,45000.0,1 hr 30 min,Haunted (2013)
tt3215220,1200.0,,Rock for Kamtis (2013)
tt2337650,500.0,1 hr 30 min,Soft Bullets (2014)
tt1376205,500.0,1 hr 35 min,Jimmy (2013)
tt2650480,8100.0,40 min,Kuttimaa (2013)
tt2872810,57000.0,1 hr 27 min,Mischief Night (2013)
tt2943992,300.0,1 hr 15 min,Cyber-Seniors (2014)
tt3635920,3200000.0,43 min,D-Day: Normandy 1944 (2014)
tt2495104,15000000.0,1 hr 38 min,Parts Per Billion (2014)
tt2938376,500000.0,1 hr 34 min,The Secret Princess (2016)
tt3733958,100.0,,African Exodus (2021)
tt3139086,4571025.0,1 hr 16 min,Batman: Assault on Arkham (2014)
tt3602334,450.0,1 hr 36 min,Scherzi: il film (2014)
tt3170972,8000.0,1 hr 22 min,Hazard Jack (2014)
tt2384022,2.0,1 hr 40 min,Crazy Bitches (2014)
tt3868708,9000.0,20 min,Weird Love (2014)
tt3811916,80000.0,9 min,Chaos Black (2014)
tt3626436,1500000.0,1 hr 22 min,Mutant World (2014)
tt2627434,100.0,48 min,The Real Chainsaw Massacre (2003)
tt2338251,500000.0,1 hr 30 min,Speed Dragon (2019)
tt3819718,99000000.0,2 hr,George Strait: The Cowboy Rides Away (2014)
tt4145848,940000.0,2 hr 13 min,Pyaar Vali Love Story (2014)
tt3289194,2000.0,3 min,Skelf (2013)
tt11502850,8330.0,2 min,Muko (2014)
tt4266692,4000000.0,44 min,Drain the Bermuda Triangle (2014)
tt3454030,7000.0,45 min,No More Nights and No More Days (2014)
tt5945888,100000.0,1 hr 16 min,"Lapis, Ballpen at Diploma, a True to Life Journey (2014)"
tt3499632,15000.0,1 hr 19 min,Not Another Zombie Movie.... About the Living Dead (2014)
tt5051948,1.0,10 min,"Head Full of Dreams, Heart Full of Promises (2015)"
tt3701784,10000.0,17 min,Alistair's Wednesday (2015)
tt4446250,50000.0,1 hr 12 min,Hearts Know * the Runaway Brides (2015)
tt4608574,37500.0,1 hr 28 min,Essex Boys: Law of Survival (2015)
tt8190662,100.0,10 min,Four Twenty (2015)
tt5467644,25.0,4 min,Whistle (2015)
tt3067166,2500000.0,1 hr 32 min,Killing Poe (2016)
tt5152640,350000.0,1 hr 25 min,Shortwave (2016)
tt4717746,120000.0,1 hr 21 min,I Am Hooligan (2016)
tt5939404,1000.0,2 hr 23 min,The Wife's Letter (2020)
tt5113086,20432.0,1 hr 28 min,Little Dead Rotting Hood (2016)
tt4232188,5000.0,1 hr 33 min,Kropemann (2016)
tt5855378,2350000.0,1 hr 42 min,Billy Yeager the Ineffable Enigma (2016)
tt6147458,25000.0,42 min,Last Chance (2016)
tt6687734,80000.0,1 hr 46 min,Shororipu (2016)
tt3280262,2200000.0,1 hr 31 min,Cult of Chucky (2017)
tt7938472,24000.0,1 hr 53 min,Serial Rabbit V: The Epic Hunt (2017)
tt5701718,90000000.0,1 hr 26 min,Heartthrob (2017)
tt3533612,400000.0,1 hr 35 min,Citizen Clark... A Life of Principle (2018)
tt6850102,10.0,,Afternoon Tea (2017)
tt7131678,20.0,,When Doves Cry (2017)
tt6547398,1.0,4 min,180 Seconds (2017)
tt7020762,300.0,10 min,Thanatophobia (2017)
tt7650604,1747037.0,5 min,BuzziN' (2017)
tt5124206,29700.0,1 hr 40 min,Savage (2017)
tt6571500,387034.0,1 hr 14 min,The Allins (2017)
tt8607728,41000.0,1 hr 21 min,Catch.er (2017)
tt3902120,40.0,1 hr 15 min,The 312 (2017)
tt7613260,75000.0,1 hr 38 min,Keteke (2017)
tt4892424,10000.0,10 min,Phone Sex (2017)
tt7970690,1100.0,,Reglur Leiksins (2018)
tt10687574,3500.0,,Ek Kahani Maa (2018)
tt6545212,23000.0,1 hr 44 min,Leera the Soulmate (2018)
tt8259442,10.0,,Arrival
tt9735328,55647.0,2 hr 52 min,WWR Tournament For Tomorrow (2018)
tt9460462,1200.0,10 min,Corre (2018)
tt8840490,157202.0,5 min,EU & USA (2018)
tt8970866,1.0,7 min,The Earth's End (2018)
tt2243900,679000.0,1 hr 56 min,Trouble Is My Business (2018)
tt8657692,616313.0,1 hr 29 min,23:59: The Haunting Hour (2018)
tt5164184,217427.0,1 hr 40 min,In Darkness (2018)
tt7921182,1.0,1 hr 38 min,Dead Man's Line (2018)
tt8235660,5303.0,1 hr 28 min,Megalodon (2018)
tt14391292,1000.0,1 hr 22 min,Mr. Local Man (2019)
tt10670200,350.0,,Nico (2019)
tt1673732,50000.0,1 hr 24 min,Break Clause (2019)
tt10250846,7615.0,1 min,Ecosystem (2019)
tt7869070,3153.0,1 hr 28 min,The Fanatic (2019)
tt11341572,70000.0,55 min,The Color of Your Skin (2019)
tt10555920,13000000.0,2 hr,The Cabin House (2019)
tt6986718,2000.0,23 min,Hale (2019)
tt8876008,3000000.0,2 hr 8 min,Keep Safe Distance (2019)
tt7449924,75000.0,37 min,The Mafia: Payback (2019)
tt4935782,70.0,1 hr 31 min,Blood Pi (2020)
tt12649538,100000.0,1 hr 13 min,One Life at a Time (2020)
tt19878566,845.0,,Troleriya Virus (2020)
tt3848268,10000.0,,The Passenger
tt14327366,1000.0,,Akoshat (2020)
tt11000458,10000000.0,25 min,Lost Generation (2020)
tt26908259,1.0,3 min,Craqdi(Porqué yo lo Valgo) (2020)
tt10618286,122252.0,2 hr 11 min,Mank (2020)
tt10822762,10000.0,16 min,Introducing: Mr. Goode (2020)
tt1070874,107423.0,2 hr 9 min,The Trial of the Chicago 7 (2020)
tt10140666,500.0,,Rejects (2021)
tt11416992,92.0,1 hr 32 min,Footprints (2021)
tt17071130,1000.0,46 min,Buzzkill (2021)
tt14414730,100.0,1 hr 34 min,Voice of Land (2021)
tt14221050,6500.0,6 min,Cult Affairs (2021)
tt13289298,12000.0,1 hr 9 min,At the Mountains of Madness (2021)
tt15387654,47467.0,1 hr 5 min,Spaced Out - Panthung Di Kadaaida (2021)
tt18548612,50.0,5 min,Mr Fuck (2022)
tt22003732,315.0,35 min,The B-Money Experience (2022)
tt13429928,23000.0,1 hr 27 min,Operation Seawolf (2022)
tt19402216,120000.0,54 min,Life After War: Iraq (2022)
tt22042944,800.0,1 hr 27 min,A Waste of Time (2022)
tt16255314,100000.0,51 min,Marc Bolan: Destined for Fame (2022)
tt15501758,10000.0,1 hr 41 min,Caliovas (2022)
tt13460398,21000.0,1 hr 39 min,Fixation (2022)
tt28197460,525.0,12 min,End of the Line (2023)
tt28668969,8324.0,1 hr 44 min,Canary (2023)
